
1 | {"x":-0.01,"y":0.001,"z":0.08} | 88
2 | {"x":-0.011,"y":0,"z":0.081} | 135
3 | {"x":-0.012,"y":0,"z":0.081} | 195
4 | {"x":-0.011,"y":0.001,"z":0.083} | 256
5 | {"x":-0.011,"y":0.001,"z":0.081} | 319
6 | {"x":-0.01,"y":-0.001,"z":0.081} | 380
7 | {"x":-0.009,"y":0.001,"z":0.083} | 441
8 | {"x":-0.013,"y":0,"z":0.082} | 502
9 | {"x":-0.011,"y":-0.001,"z":0.083} | 564
10 | {"x":-0.011,"y":-0.001,"z":0.08} | 627
11 | {"x":-0.012,"y":0,"z":0.081} | 688
12 | {"x":-0.014,"y":0.001,"z":0.082} | 749
13 | {"x":-0.012,"y":0.001,"z":0.081} | 811
14 | {"x":-0.012,"y":-0.001,"z":0.08} | 873
15 | {"x":-0.012,"y":0,"z":0.08} | 935
16 | {"x":-0.011,"y":-0.002,"z":0.081} | 996
17 | {"x":-0.005,"y":0.002,"z":0.081} | 1057
18 | {"x":-0.013,"y":-0.001,"z":0.081} | 1118
19 | {"x":-0.012,"y":0,"z":0.082} | 1180
20 | {"x":-0.01,"y":0,"z":0.08} | 1242
21 | {"x":-0.006,"y":-0.001,"z":0.081} | 1304
22 | {"x":-0.014,"y":0,"z":0.08} | 1366
23 | {"x":-0.003,"y":0.002,"z":0.081} | 1428
24 | {"x":-0.009,"y":-0.001,"z":0.081} | 1489
25 | {"x":-0.012,"y":0.001,"z":0.081} | 1551
26 | {"x":-0.009,"y":0.001,"z":0.081} | 1612
27 | {"x":-0.013,"y":-0.002,"z":0.082} | 1674
28 | {"x":-0.008,"y":-0.001,"z":0.083} | 1736
29 | {"x":-0.009,"y":0.001,"z":0.08} | 1798
30 | {"x":-0.011,"y":-0.001,"z":0.081} | 1860
31 | {"x":-0.009,"y":0,"z":0.08} | 1922
32 | {"x":-0.007,"y":0,"z":0.08} | 1982
33 | {"x":-0.01,"y":0,"z":0.081} | 2043
