

23:04:11.465372:
-729 | 1234 | -1792 | -29 | 482 | -67 | 6 | -11 | 4 | 
-724 | 1231 | -1793 | -29 | 482 | -67 | 6 | -11 | 4 | 
-735 | 1215 | -1784 | -29 | 482 | -67 | 6 | -11 | 4 | 
-707 | 1243 | -1786 | -29 | 482 | -67 | 6 | -11 | 4 | 
-722 | 1237 | -1782 | -29 | 482 | -67 | 6 | -11 | 4 | 
-739 | 1244 | -1784 | -29 | 482 | -67 | 6 | -11 | 4 | 
-728 | 1254 | -1795 | -29 | 482 | -67 | 6 | -11 | 4 | 
-724 | 1231 | -1797 | -29 | 482 | -67 | 6 | -11 | 4 | 
-713 | 1238 | -1772 | -29 | 482 | -67 | 6 | -11 | 4 | 
-714 | 1228 | -1789 | -29 | 482 | -67 | 6 | -11 | 4 | 
-700 | 1221 | -1781 | -29 | 482 | -67 | 6 | -11 | 4 | 
-730 | 1242 | -1785 | -29 | 482 | -67 | 6 | -11 | 4 | 
-721 | 1237 | -1772 | -29 | 482 | -67 | 6 | -11 | 4 | 
-739 | 1233 | -1782 | -29 | 482 | -67 | 6 | -11 | 4 | 
-725 | 1226 | -1783 | -29 | 482 | -67 | 6 | -11 | 4 | 
-711 | 1210 | -1779 | -29 | 482 | -67 | 6 | -11 | 4 | 
-713 | 1236 | -1790 | -29 | 482 | -67 | 6 | -11 | 4 | 
-751 | 1251 | -1803 | -29 | 482 | -67 | 6 | -11 | 4 | 
-757 | 1240 | -1775 | -29 | 482 | -67 | 6 | -11 | 4 | 
-739 | 1246 | -1796 | -29 | 482 | -67 | 6 | -11 | 4 | 
-735 | 1261 | -1803 | -29 | 482 | -67 | 6 | -11 | 4 | 
-702 | 1210 | -2240 | -29 | 482 | -67 | 6 | -11 | 4 | 
-716 | 1470 | -2448 | -29 | 482 | -67 | 6 | -11 | 4 | 
-866 | 1480 | -1634 | -29 | 482 | -67 | 6 | -11 | 4 | 
-704 | 1054 | -1780 | -29 | 482 | -67 | 6 | -11 | 4 | 
-772 | 1121 | -1471 | -29 | 482 | -67 | 6 | -11 | 4 | 
-829 | 964 | -1996 | -29 | 482 | -67 | 6 | -11 | 4 | 
-190 | 1463 | -2104 | -29 | 482 | -67 | 6 | -11 | 4 | 
-2626 | 477 | -1569 | -29 | 482 | -67 | 6 | -11 | 4 | 
-2703 | 250 | -1959 | -29 | 482 | -67 | 6 | -11 | 4 | 
-3336 | -708 | -1830 | -29 | 482 | -67 | 6 | -11 | 4 | 
-4020 | -379 | -1537 | -29 | 482 | -67 | 6 | -11 | 4 | 
